Stage,Team 1,FT,Team 2
A,Club Tijuana,03-Feb,Cruz Azul
A,CF Monterrey,2-0,Pumas UNAM
A,Club Puebla,02-Jan,FC Juárez
A,Club Atlas,3-0,Club América
A,Monarcas Morelia,1-0,Tiburones Rojos Veracruz
A,Club Necaxa,03-Feb,Club Tijuana
A,Cruz Azul,01-Jan,CD Guadalajara Chivas
A,CF Pachuca,0-2,Atlético San Luis
A,Tigres UANL,01-Jan,Club León
A,Pumas UNAM,02-Jan,Deportivo Toluca FC
A,Querétaro FC,01-Jan,Club Puebla
A,FC Juárez,1-0,CF Monterrey
A,Club Puebla,01-Mar,Atlético San Luis
A,Club Tijuana,01-Jan,Tigres UANL
A,Tiburones Rojos Veracruz,0-0,Cruz Azul
A,CF Monterrey,0-2,Club Necaxa
A,Club León,03-Jan,FC Juárez
A,CD Guadalajara Chivas,1-0,Club Atlas
A,Club América,01-Jan,Pumas UNAM
A,Deportivo Toluca FC,0-2,Monarcas Morelia
A,Santos Laguna,02-Feb,CF Pachuca
A,Monarcas Morelia,1-0,CD Guadalajara Chivas
A,Club Atlas,0-1,Deportivo Toluca FC
A,Atlético San Luis,02-Mar,Santos Laguna
A,Club Necaxa,02-Apr,Club León
A,Club América,02-Feb,Querétaro FC
A,CF Pachuca,04-Jan,Club Tijuana
A,CF Monterrey,03-Feb,Club Puebla
A,Pumas UNAM,01-Jan,Cruz Azul
A,FC Juárez,2-0,Tiburones Rojos Veracruz
A,Querétaro FC,01-Feb,Club Necaxa
A,Tigres UANL,0-1,Club Puebla
A,Club León,01-Jan,Club Atlas
A,CD Guadalajara Chivas,02-Apr,CF Pachuca
A,Club Tijuana,03-Feb,Monarcas Morelia
A,Santos Laguna,5-0,Tiburones Rojos Veracruz
A,Cruz Azul,01-Jan,CF Monterrey
A,FC Juárez,01-Jan,Club América
A,Deportivo Toluca FC,03-Jan,Atlético San Luis
A,Club Puebla,02-Jan,Club León
A,Club Atlas,2-0,Querétaro FC
A,CF Pachuca,2-0,Cruz Azul
A,Club Necaxa,0-0,FC Juárez
A,CF Monterrey,0-2,Tigres UANL
A,Club América,04-Jan,CD Guadalajara Chivas
A,Pumas UNAM,2-0,Santos Laguna
A,Atlético San Luis,02-Mar,Club Tijuana
A,Tiburones Rojos Veracruz,01-Jan,Deportivo Toluca FC
A,Monarcas Morelia,02-Mar,Club Necaxa
A,Club Tijuana,02-Feb,Club Atlas
A,Club León,01-Jan,Tiburones Rojos Veracruz
A,Tigres UANL,4-0,Santos Laguna
A,CD Guadalajara Chivas,01-Jan,Pumas UNAM
A,Cruz Azul,05-Feb,Club América
A,Deportivo Toluca FC,01-Jan,Club Puebla
A,FC Juárez,01-Feb,Atlético San Luis
A,Querétaro FC,02-Jan,CF Monterrey
A,Club Puebla,0-1,Club Atlas
A,Tiburones Rojos Veracruz,01-Mar,Tigres UANL
A,Santos Laguna,04-Jan,Club Tijuana
A,Cruz Azul,02-Mar,Monarcas Morelia
A,CF Pachuca,0-1,FC Juárez
A,Club Necaxa,02-Feb,Club América
A,CF Monterrey,01-Jan,CD Guadalajara Chivas
A,Atlético San Luis,0-2,Querétaro FC
A,Pumas UNAM,01-Feb,Club León
A,Monarcas Morelia,02-Feb,Santos Laguna
A,Club Tijuana,2-0,Tiburones Rojos Veracruz
A,Club Atlas,0-2,Club Necaxa
A,Tigres UANL,01-Jan,Cruz Azul
