Round,Team 1,FT,Team 2
2,CF Monterrey,1-0,Cruz Azul
2,Pumas UNAM,01-Jan,Club América
2,Cruz Azul,1-0,CF Monterrey
2,Club América,06-Jan,Pumas UNAM
2,Club América,0-0,Cruz Azul
2,Cruz Azul,0-2,Club América
1,Club Puebla,01-Jan,Cruz Azul
1,Monarcas Morelia,01-Mar,Deportivo Toluca FC
1,Querétaro FC,01-Feb,Club Atlas
1,CF Monterrey,5-0,CF Pachuca
1,CD Guadalajara Chivas,2-0,Club Tijuana
1,Club León,02-Feb,Tigres UANL
1,Lobos BUAP,2-0,Santos Laguna
1,Pumas UNAM,0-0,Tiburones Rojos Veracruz
1,Club Atlas,01-Feb,Club América
1,Tiburones Rojos Veracruz,0-1,Lobos BUAP
1,Club Tijuana,0-3,Tigres UANL
1,Club Necaxa,02-Jan,Pumas UNAM
1,Cruz Azul,0-1,CD Guadalajara Chivas
1,CF Pachuca,3-0,Querétaro FC
1,CF Monterrey,02-Feb,Club León
1,Santos Laguna,1-0,Monarcas Morelia
1,Deportivo Toluca FC,2-0,Club Puebla
1,Monarcas Morelia,2-0,Tiburones Rojos Veracruz
1,Club Puebla,01-Jan,Santos Laguna
1,Club América,3-0,CF Pachuca
1,Querétaro FC,01-Feb,CF Monterrey
1,Tigres UANL,0-1,Cruz Azul
1,Club León,0-1,Club Tijuana
1,Pumas UNAM,02-Feb,Club Atlas
1,Lobos BUAP,02-Mar,Club Necaxa
1,CD Guadalajara Chivas,1-0,Deportivo Toluca FC
1,Club Atlas,03-Jan,Lobos BUAP
1,Tiburones Rojos Veracruz,0-1,Club Puebla
1,Club Necaxa,0-0,Monarcas Morelia
1,Cruz Azul,1-0,Club Tijuana
1,CF Monterrey,03-Feb,Club América
1,CF Pachuca,1-0,Pumas UNAM
1,Querétaro FC,0-4,Club León
1,Deportivo Toluca FC,0-1,Tigres UANL
1,Santos Laguna,1-0,CD Guadalajara Chivas
1,Monarcas Morelia,01-Feb,Club Atlas
1,Club Puebla,01-Apr,Club Necaxa
1,Club Tijuana,2-0,Deportivo Toluca FC
1,Club América,2-0,Querétaro FC
1,Club León,2-0,Cruz Azul
1,Tigres UANL,02-Jan,Santos Laguna
1,Lobos BUAP,01-Jan,CF Pachuca
1,Pumas UNAM,01-Jan,CF Monterrey
1,CD Guadalajara Chivas,0-0,Tiburones Rojos Veracruz
1,Tiburones Rojos Veracruz,0-2,Tigres UANL
1,Club Atlas,01-Feb,Club Puebla
1,CF Monterrey,4-0,Lobos BUAP
1,Querétaro FC,0-2,Pumas UNAM
1,Club Necaxa,03-Mar,CD Guadalajara Chivas
1,Club América,0-3,Club León
1,CF Pachuca,2-0,Monarcas Morelia
1,Deportivo Toluca FC,01-Jan,Cruz Azul
1,Santos Laguna,01-Jan,Club Tijuana
1,Monarcas Morelia,02-Mar,CF Monterrey
1,Club Puebla,01-Jan,CF Pachuca
1,Club Tijuana,3-0,Tiburones Rojos Veracruz
1,Cruz Azul,01-Feb,Santos Laguna
1,CD Guadalajara Chivas,3-0,Club Atlas
1,Club León,3-0,Deportivo Toluca FC
1,Tigres UANL,03-Feb,Club Necaxa
1,Lobos BUAP,03-Jan,Querétaro FC
1,Pumas UNAM,1-0,Club América
1,Club Atlas,0-1,Tigres UANL
1,Tiburones Rojos Veracruz,01-Jan,Cruz Azul
1,Querétaro FC,3-0,Monarcas Morelia
1,Club Necaxa,01-Feb,Club Tijuana
1,Club América,3-0,Lobos BUAP
1,CF Monterrey,0-0,Club Puebla
1,CF Pachuca,03-Jan,CD Guadalajara Chivas
1,Santos Laguna,4-0,Deportivo Toluca FC
1,Pumas UNAM,01-Mar,Club León
1,Monarcas Morelia,02-Feb,Club América
1,Club Tijuana,03-Jan,Club Atlas
1,Cruz Azul,02-Jan,Club Necaxa
1,CD Guadalajara Chivas,0-2,CF Monterrey
1,Tigres UANL,3-0,CF Pachuca
1,Club León,3-0,Santos Laguna
1,Deportivo Toluca FC,03-Jan,Tiburones Rojos Veracruz
1,Lobos BUAP,02-Jan,Pumas UNAM
1,Club Puebla,1-0,Querétaro FC
1,Club América,01-Mar,Club Necaxa
1,Tiburones Rojos Veracruz,02-Feb,Santos Laguna
1,Club Atlas,0-2,Cruz Azul
1,Querétaro FC,0-0,CD Guadalajara Chivas
1,CF Pachuca,4-0,Club Tijuana
1,CF Monterrey,01-Jan,Tigres UANL
1,Club Necaxa,01-Jan,Deportivo Toluca FC
1,Club América,1-0,Club Puebla
1,Pumas UNAM,02-Feb,Monarcas Morelia
1,Lobos BUAP,0-1,Club León
2,Monarcas Morelia,01-Jan,Lobos BUAP
2,Club Puebla,1-0,Pumas UNAM
2,Cruz Azul,04-Jan,CF Pachuca
2,Club Tijuana,1-0,CF Monterrey
2,Tigres UANL,04-Jan,Querétaro FC
2,CD Guadalajara Chivas,0-2,Club América
2,Deportivo Toluca FC,2-0,Club Atlas
2,Club León,2-0,Tiburones Rojos Veracruz
2,Santos Laguna,01-Feb,Club Necaxa
2,Monarcas Morelia,02-Mar,Club León
2,Club Atlas,1-0,Santos Laguna
2,Club América,3-0,Tigres UANL
2,Querétaro FC,1-0,Club Tijuana
2,Club Necaxa,2-0,Tiburones Rojos Veracruz
2,CF Monterrey,02-Feb,Cruz Azul
2,CF Pachuca,03-Feb,Deportivo Toluca FC
2,Pumas UNAM,02-Jan,CD Guadalajara Chivas
2,Lobos BUAP,0-4,Club Puebla
2,Tiburones Rojos Veracruz,0-1,Club Atlas
2,Club Puebla,01-Jan,Monarcas Morelia
2,Club León,02-Jan,Club Necaxa
2,Cruz Azul,3-0,Querétaro FC
2,Tigres UANL,2-0,Pumas UNAM
2,Club Tijuana,03-Feb,Club América
2,CD Guadalajara Chivas,0-1,Lobos BUAP
2,Deportivo Toluca FC,05-Jan,CF Monterrey
2,Santos Laguna,0-0,CF Pachuca
2,Club Atlas,01-Feb,Club Necaxa
2,Club Puebla,0-3,Club León
2,Querétaro FC,0-0,Deportivo Toluca FC
2,CF Pachuca,09-Feb,Tiburones Rojos Veracruz
2,Monarcas Morelia,1-0,CD Guadalajara Chivas
2,Pumas UNAM,1-0,Club Tijuana
2,CF Monterrey,4-0,Santos Laguna
2,Club América,0-0,Cruz Azul
2,Lobos BUAP,0-3,Tigres UANL
2,Tiburones Rojos Veracruz,0-1,CF Monterrey
2,Club Tijuana,01-Feb,Lobos BUAP
2,Club Necaxa,02-Feb,CF Pachuca
2,Club León,05-Feb,Club Atlas
2,Cruz Azul,02-Jan,Pumas UNAM
2,CD Guadalajara Chivas,01-Mar,Club Puebla
2,Tigres UANL,03-Mar,Monarcas Morelia
2,Deportivo Toluca FC,03-Feb,Club América
2,Santos Laguna,02-Jan,Querétaro FC
2,Club Puebla,01-Jan,Tigres UANL
2,Monarcas Morelia,01-Apr,Club Tijuana
2,CF Pachuca,1-0,Club Atlas
2,CD Guadalajara Chivas,02-Jan,Club León
2,CF Monterrey,02-Feb,Club Necaxa
2,Club América,1-0,Santos Laguna
2,Pumas UNAM,02-Feb,Deportivo Toluca FC
2,Lobos BUAP,01-Apr,Cruz Azul
2,Querétaro FC,02-Jan,Tiburones Rojos Veracruz
2,Tiburones Rojos Veracruz,0-2,Club América
2,Cruz Azul,01-Jan,Monarcas Morelia
2,Club León,02-Jan,CF Pachuca
2,Club Tijuana,4-0,Club Puebla
2,Club Necaxa,1-0,Querétaro FC
2,Tigres UANL,02-Jan,CD Guadalajara Chivas
2,Deportivo Toluca FC,4-0,Lobos BUAP
2,Club Atlas,2-0,CF Monterrey
2,Santos Laguna,05-Feb,Pumas UNAM
2,CF Pachuca,01-Jan,Tigres UANL
2,Club Tijuana,01-Mar,Club León
2,Club Necaxa,1-0,CF Monterrey
2,Club América,03-Jan,Cruz Azul
2,Tigres UANL,01-Jan,CF Pachuca
2,Club León,02-Jan,Club Tijuana
2,Cruz Azul,1-0,Club América
2,CF Monterrey,1-0,Club Necaxa
2,CF Monterrey,1-0,Tigres UANL
2,Club América,0-1,Club León
2,Tigres UANL,1-0,CF Monterrey
2,Club León,0-1,Club América
2,Tigres UANL,1-0,Club León
2,Club León,0-0,Tigres UANL
