Stage,Round,Team 1,FT,Team 2
B,2,Lobos BUAP,01-Apr,Cruz Azul
B,2,Querétaro FC,02-Jan,Tiburones Rojos Veracruz
B,2,Tiburones Rojos Veracruz,0-2,Club América
B,2,Cruz Azul,01-Jan,Monarcas Morelia
B,2,Club León,02-Jan,CF Pachuca
B,2,Club Tijuana,4-0,Club Puebla
B,2,Club Necaxa,1-0,Querétaro FC
B,2,Tigres UANL,02-Jan,CD Guadalajara Chivas
B,2,Deportivo Toluca FC,4-0,Lobos BUAP
B,2,Club Atlas,2-0,CF Monterrey
B,2,Santos Laguna,05-Feb,Pumas UNAM
B,2,CF Pachuca,01-Jan,Tigres UANL
B,2,Club Tijuana,01-Mar,Club León
B,2,Club Necaxa,1-0,CF Monterrey
B,2,Club América,03-Jan,Cruz Azul
B,2,Tigres UANL,01-Jan,CF Pachuca
B,2,Club León,02-Jan,Club Tijuana
B,2,Cruz Azul,1-0,Club América
B,2,CF Monterrey,1-0,Club Necaxa
B,2,CF Monterrey,1-0,Tigres UANL
B,2,Club América,0-1,Club León
B,2,Tigres UANL,1-0,CF Monterrey
B,2,Club León,0-1,Club América
B,2,Tigres UANL,1-0,Club León
B,2,Club León,0-0,Tigres UANL
A,1,Club Puebla,01-Mar,Club Tijuana
A,1,Club Atlas,1-0,FC Juárez
A,1,CF Pachuca,01-Mar,Club León
A,1,Atlético San Luis,0-2,Pumas UNAM
A,1,Club América,04-Feb,CF Monterrey
A,1,Tigres UANL,04-Feb,Monarcas Morelia
A,1,Club Necaxa,0-0,Cruz Azul
A,1,Deportivo Toluca FC,0-2,Querétaro FC
A,1,Santos Laguna,3-0,CD Guadalajara Chivas
A,1,Monarcas Morelia,0-1,Club Atlas
A,1,Tiburones Rojos Veracruz,03-Mar,CF Pachuca
A,1,Club León,0-0,Club América
A,1,Club Tijuana,01-Jan,Querétaro FC
A,1,Cruz Azul,01-Jan,Deportivo Toluca FC
A,1,Pumas UNAM,2-0,Club Necaxa
A,1,Atlético San Luis,1-0,CF Monterrey
A,1,CD Guadalajara Chivas,2-0,Tigres UANL
A,1,Santos Laguna,3-0,FC Juárez
A,1,Club Puebla,01-Jan,CD Guadalajara Chivas
A,1,Club Atlas,01-Feb,Santos Laguna
A,1,Querétaro FC,3-0,Cruz Azul
A,1,Club América,03-Jan,Club Tijuana
A,1,CF Monterrey,03-Feb,Club León
A,1,Club Necaxa,7-0,Tiburones Rojos Veracruz
A,1,CF Pachuca,01-Feb,Monarcas Morelia
A,1,Pumas UNAM,0-1,Tigres UANL
A,1,FC Juárez,2-0,Deportivo Toluca FC
A,1,Monarcas Morelia,0-1,CF Monterrey
A,1,Tiburones Rojos Veracruz,01-Feb,Club Atlas
A,1,Club Tijuana,1-0,Pumas UNAM
A,1,CD Guadalajara Chivas,3-0,Atlético San Luis
A,1,Cruz Azul,2-0,FC Juárez
A,1,Tigres UANL,03-Jan,Club Necaxa
A,1,Querétaro FC,02-Jan,CF Pachuca
A,1,Santos Laguna,04-Jan,Club Puebla
A,1,Deportivo Toluca FC,0-1,Club América
A,1,Club Puebla,0-4,CF Pachuca
A,1,Club Atlas,01-Mar,Cruz Azul
A,1,Atlético San Luis,01-Jan,Tigres UANL
A,1,Club León,04-Mar,CD Guadalajara Chivas
A,1,CF Monterrey,2-0,Deportivo Toluca FC
A,1,Club América,1-0,Monarcas Morelia
A,1,Pumas UNAM,2-0,Tiburones Rojos Veracruz
A,1,FC Juárez,0-2,Querétaro FC
A,1,Club Necaxa,3-0,Santos Laguna
A,1,Tiburones Rojos Veracruz,01-Feb,Atlético San Luis
A,1,Monarcas Morelia,2-0,Pumas UNAM
A,1,Santos Laguna,02-Jan,CF Monterrey
A,1,Querétaro FC,0-4,Club León
A,1,CF Pachuca,03-Jan,Club Atlas
A,1,Cruz Azul,01-Jan,Club Puebla
A,1,Tigres UANL,01-Jan,Club América
A,1,Deportivo Toluca FC,2-0,Club Tijuana
A,1,CD Guadalajara Chivas,01-Feb,Club Necaxa
A,1,Tiburones Rojos Veracruz,0-5,Querétaro FC
A,1,Atlético San Luis,01-Jan,Monarcas Morelia
A,1,Club América,01-Jan,CF Pachuca
A,1,Club Atlas,01-Jan,Tigres UANL
A,1,Club León,02-Feb,Santos Laguna
A,1,Club Necaxa,01-Jan,Deportivo Toluca FC
A,1,Club Tijuana,03-Feb,Cruz Azul
A,1,CF Monterrey,2-0,Pumas UNAM
A,1,Club Puebla,02-Jan,FC Juárez
A,1,Club Atlas,3-0,Club América
A,1,Monarcas Morelia,1-0,Tiburones Rojos Veracruz
A,1,Club Necaxa,03-Feb,Club Tijuana
A,1,Cruz Azul,01-Jan,CD Guadalajara Chivas
A,1,CF Pachuca,0-2,Atlético San Luis
A,1,Tigres UANL,01-Jan,Club León
A,1,Pumas UNAM,02-Jan,Deportivo Toluca FC
A,1,Querétaro FC,01-Jan,Club Puebla
A,1,FC Juárez,1-0,CF Monterrey
A,1,Club Puebla,01-Mar,Atlético San Luis
A,1,Club Tijuana,01-Jan,Tigres UANL
A,1,Tiburones Rojos Veracruz,0-0,Cruz Azul
A,1,CF Monterrey,0-2,Club Necaxa
A,1,Club León,03-Jan,FC Juárez
A,1,CD Guadalajara Chivas,1-0,Club Atlas
A,1,Club América,01-Jan,Pumas UNAM
A,1,Deportivo Toluca FC,0-2,Monarcas Morelia
A,1,Santos Laguna,02-Feb,CF Pachuca
A,1,Monarcas Morelia,1-0,CD Guadalajara Chivas
